physician_id,physician_specialty,physician_state,last_payment_date,frequency,value,recency_days,r_score,f_score,v_score,rfm_score,segment
PHY00234,Neurology,PA,2025-12-01,12,5912.11,29,3,4,4,11,High Priority
PHY00137,Cardiology,FL,2025-11-18,11,8763.31,42,3,4,4,11,High Priority
PHY00084,Psychiatry,NC,2025-10-30,15,6767.05,61,3,4,4,11,High Priority
PHY00153,Cardiology,NY,2025-10-31,11,6979.87,60,3,4,4,11,High Priority
PHY00196,Oncology,CA,2025-12-28,11,5004.76,2,4,4,3,11,High Priority
PHY00162,Cardiology,NY,2025-11-30,11,8313.95,30,3,4,4,11,High Priority
PHY00180,Endocrinology,CA,2025-12-10,9,5450.24,20,4,3,4,11,High Priority
PHY00322,Pulmonology,PA,2025-12-06,12,6531.73,24,3,4,4,11,High Priority
PHY00017,Neurology,MI,2025-12-28,12,4313.66,2,4,4,3,11,High Priority
PHY00022,Pulmonology,CA,2025-11-09,11,11872.65,51,3,4,4,11,High Priority
PHY00039,Cardiology,GA,2025-11-27,12,7871.04,33,3,4,4,11,High Priority
PHY00476,Psychiatry,TX,2025-12-26,9,7566.15,4,4,3,4,11,High Priority
PHY00313,Neurology,NC,2025-12-26,13,4665.85,4,4,4,3,11,High Priority
PHY00325,Rheumatology,IL,2025-12-10,9,5927.4400000000005,20,4,3,4,11,High Priority
PHY00353,Cardiology,IL,2025-11-26,13,8601.16,34,3,4,4,11,High Priority
PHY00363,Cardiology,MI,2025-12-17,10,4566.96,13,4,4,3,11,High Priority
PHY00279,Cardiology,PA,2025-12-06,12,10223.8,24,3,4,4,11,High Priority
PHY00098,Neurology,PA,2025-12-28,10,5698.11,2,4,3,4,11,High Priority
PHY00095,Rheumatology,CA,2025-12-21,10,5359.79,9,4,3,4,11,High Priority
PHY00104,Neurology,PA,2025-11-10,12,8846.95,50,3,4,4,11,High Priority
PHY00380,Cardiology,PA,2025-12-10,9,5398.99,20,4,3,4,11,High Priority
PHY00111,Psychiatry,MI,2025-12-30,15,4759.57,0,4,4,3,11,High Priority
PHY00134,Pulmonology,OH,2025-12-20,11,4620.95,10,4,4,3,11,High Priority
PHY00124,General Practice,FL,2025-11-06,11,6110.679999999999,54,3,4,4,11,High Priority
PHY00455,Pulmonology,CA,2025-11-15,10,12210.810000000001,45,3,4,4,11,High Priority
PHY00055,General Practice,MI,2025-12-27,10,6180.8,3,4,3,4,11,High Priority
PHY00433,Pulmonology,GA,2025-12-04,12,5547.19,26,3,4,4,11,High Priority
PHY00430,Neurology,PA,2025-11-05,11,9783.19,55,3,4,4,11,High Priority
PHY00472,Psychiatry,PA,2025-12-20,11,4916.77,10,4,4,3,11,High Priority
PHY00077,Neurology,MI,2025-11-03,13,7223.4400000000005,57,3,4,4,11,High Priority
PHY00028,Oncology,MI,2025-12-13,12,4178.47,17,4,4,3,11,High Priority
PHY00321,Psychiatry,NY,2025-11-14,15,12462.99,46,3,4,4,11,High Priority
PHY00480,Neurology,OH,2025-11-23,11,6973.54,37,3,4,4,11,High Priority
PHY00454,Rheumatology,TX,2025-12-23,13,3458.25,7,4,4,2,10,High Priority
PHY00439,General Practice,TX,2025-11-29,11,4427.36,31,3,4,3,10,High Priority
PHY00456,Endocrinology,MI,2025-09-13,12,5388.74,108,2,4,4,10,High Priority
PHY00010,Oncology,NY,2025-09-10,13,8994.199999999999,111,2,4,4,10,High Priority
PHY00493,Cardiology,NC,2025-11-14,9,6199.0,46,3,3,4,10,High Priority
PHY00071,Oncology,TX,2025-12-26,10,3585.58,4,4,3,3,10,High Priority
PHY00482,Rheumatology,OH,2025-11-25,9,7943.67,35,3,3,4,10,High Priority
PHY00012,General Practice,GA,2025-12-22,8,9563.77,8,4,2,4,10,High Priority
PHY00446,Endocrinology,MI,2025-12-09,7,7985.099999999999,21,4,2,4,10,High Priority
PHY00445,Neurology,TX,2025-12-19,9,4910.03,11,4,3,3,10,High Priority
PHY00474,Neurology,OH,2025-11-27,10,5197.71,33,3,4,3,10,High Priority
PHY00463,Rheumatology,CA,2025-12-25,10,2841.73,5,4,4,2,10,High Priority
PHY00329,Psychiatry,GA,2025-12-14,9,4308.58,16,4,3,3,10,High Priority
PHY00063,Pulmonology,OH,2025-12-01,10,5959.08,29,3,3,4,10,High Priority
PHY00146,General Practice,CA,2025-11-24,15,3717.76,36,3,4,3,10,High Priority
PHY00467,Psychiatry,GA,2025-12-23,11,3326.1800000000003,7,4,4,2,10,High Priority
PHY00030,Neurology,TX,2025-12-25,12,2970.38,5,4,4,2,10,High Priority
PHY00015,Psychiatry,OH,2025-11-09,13,4100.75,51,3,4,3,10,High Priority
PHY00497,Endocrinology,MI,2025-12-28,10,3514.3,2,4,4,2,10,High Priority
PHY00207,Psychiatry,FL,2025-10-30,8,8101.09,61,3,3,4,10,High Priority
PHY00256,Endocrinology,NY,2025-12-21,10,3001.95,9,4,4,2,10,High Priority
PHY00403,Endocrinology,FL,2025-10-09,10,6140.7300000000005,82,2,4,4,10,High Priority
PHY00415,Endocrinology,GA,2025-12-04,9,8901.98,26,3,3,4,10,High Priority
PHY00099,Rheumatology,OH,2025-09-07,11,5695.599999999999,114,2,4,4,10,High Priority
PHY00428,Neurology,OH,2025-12-28,15,2540.32,2,4,4,2,10,High Priority
PHY00419,Psychiatry,FL,2025-12-10,6,5451.58,20,4,2,4,10,High Priority
PHY00420,Rheumatology,GA,2025-12-07,10,3876.13,23,3,4,3,10,High Priority
PHY00058,Cardiology,IL,2025-12-11,9,4035.3400000000006,19,4,3,3,10,High Priority
PHY00418,Oncology,CA,2025-12-03,10,3884.7000000000003,27,3,4,3,10,High Priority
PHY00047,Psychiatry,NC,2025-12-18,12,3248.18,12,4,4,2,10,High Priority
PHY00057,Psychiatry,PA,2025-12-11,7,8779.11,19,4,2,4,10,High Priority
PHY00249,Cardiology,FL,2025-09-29,12,5670.17,92,2,4,4,10,High Priority
PHY00498,Neurology,NC,2025-09-20,13,13364.07,101,2,4,4,10,High Priority
PHY00262,Rheumatology,OH,2025-12-27,9,4360.759999999999,3,4,3,3,10,High Priority
PHY00239,Endocrinology,TX,2025-11-07,10,5224.85,53,3,4,3,10,High Priority
PHY00269,General Practice,OH,2025-12-09,9,3920.94,21,4,3,3,10,High Priority
PHY00260,Endocrinology,MI,2025-11-06,12,4659.3,54,3,4,3,10,High Priority
PHY00226,Oncology,IL,2025-11-18,13,4033.04,42,3,4,3,10,High Priority
PHY00209,Rheumatology,MI,2025-11-02,11,3621.42,58,3,4,3,10,High Priority
PHY00070,Rheumatology,FL,2025-12-07,10,6229.67,23,3,3,4,10,High Priority
PHY00335,Rheumatology,PA,2025-09-24,11,11430.19,97,2,4,4,10,High Priority
PHY00184,Endocrinology,CA,2025-11-29,10,10389.11,31,3,3,4,10,High Priority
PHY00116,Neurology,IL,2025-12-04,11,4027.7,26,3,4,3,10,High Priority
PHY00192,Endocrinology,NC,2025-11-02,14,3859.81,58,3,4,3,10,High Priority
PHY00362,Cardiology,MI,2025-12-22,11,3467.39,8,4,4,2,10,High Priority
PHY00173,Endocrinology,NC,2025-09-22,13,6327.13,99,2,4,4,10,High Priority
PHY00154,Endocrinology,OH,2025-11-25,9,8278.5,35,3,3,4,10,High Priority
PHY00308,Oncology,MI,2025-11-08,11,3905.92,52,3,4,3,10,High Priority
PHY00307,Neurology,FL,2025-10-04,12,7514.389999999999,87,2,4,4,10,High Priority
PHY00179,Cardiology,NY,2025-09-28,12,8996.369999999999,93,2,4,4,10,High Priority
PHY00278,Rheumatology,IL,2025-11-24,13,5197.66,36,3,4,3,10,High Priority
PHY00274,Psychiatry,NC,2025-11-15,9,5969.099999999999,45,3,3,4,10,High Priority
PHY00270,Endocrinology,CA,2025-11-29,10,3549.52,31,3,4,3,10,High Priority
PHY00345,Endocrinology,TX,2025-11-20,9,5923.679999999999,40,3,3,4,10,High Priority
PHY00343,Endocrinology,CA,2025-10-21,11,5250.9,70,2,4,4,10,High Priority
PHY00171,Psychiatry,NC,2025-12-22,9,5124.63,8,4,3,3,10,High Priority
PHY00295,Oncology,PA,2025-10-07,11,5939.92,84,2,4,4,10,High Priority
PHY00293,Cardiology,CA,2025-11-18,12,5094.38,42,3,4,3,10,High Priority
PHY00275,Cardiology,GA,2025-12-20,10,2496.4,10,4,4,2,10,High Priority
PHY00237,Rheumatology,MI,2025-11-23,12,4629.120000000001,37,3,4,3,10,High Priority
PHY00233,Neurology,CA,2025-12-28,8,3836.34,2,4,3,3,10,High Priority
PHY00284,General Practice,IL,2025-12-21,7,9039.07,9,4,2,4,10,High Priority
PHY00389,Cardiology,OH,2025-12-20,10,3146.98,10,4,4,2,10,High Priority
PHY00357,Oncology,IL,2025-11-15,10,4388.26,45,3,4,3,10,High Priority
PHY00354,Psychiatry,IL,2025-12-11,7,6160.33,19,4,2,4,10,High Priority
PHY00156,Oncology,MI,2025-10-29,9,8894.91,62,3,3,4,10,High Priority
PHY00068,Cardiology,OH,2025-12-22,8,6747.79,8,4,2,4,10,High Priority
PHY00371,Neurology,CA,2025-11-28,9,4074.58,32,3,3,3,9,High Priority
PHY00378,Cardiology,MI,2025-10-16,11,4688.37,75,2,4,3,9,High Priority
PHY00110,General Practice,MI,2025-11-05,7,5753.03,55,3,2,4,9,High Priority
PHY00423,Rheumatology,PA,2025-12-01,8,4995.42,29,3,3,3,9,High Priority
PHY00412,Psychiatry,IL,2025-09-20,9,6176.43,101,2,3,4,9,High Priority
PHY00087,Rheumatology,MI,2025-10-02,13,4526.04,89,2,4,3,9,High Priority
PHY00254,Pulmonology,FL,2025-12-22,9,2596.83,8,4,3,2,9,High Priority
PHY00258,Rheumatology,OH,2025-12-18,7,4852.200000000001,12,4,2,3,9,High Priority
PHY00225,Oncology,MI,2025-12-14,9,2641.31,16,4,3,2,9,High Priority
PHY00213,Pulmonology,NC,2025-12-28,8,3248.71,2,4,3,2,9,High Priority
PHY00229,Cardiology,TX,2025-09-28,10,3616.32,93,2,4,3,9,High Priority
PHY00216,Pulmonology,FL,2025-12-25,9,2181.2599999999998,5,4,3,2,9,High Priority
PHY00244,Cardiology,PA,2025-11-20,7,5258.12,40,3,2,4,9,High Priority
PHY00259,Psychiatry,MI,2025-12-16,7,4092.42,14,4,2,3,9,High Priority
PHY00019,Psychiatry,MI,2025-11-12,10,4412.19,48,3,3,3,9,High Priority
PHY00002,Neurology,OH,2025-11-20,8,7288.76,40,3,2,4,9,High Priority
PHY00051,General Practice,MI,2025-12-28,8,3893.41,2,4,2,3,9,High Priority
PHY00048,General Practice,MI,2025-08-19,12,8492.48,133,1,4,4,9,High Priority
PHY00094,Rheumatology,IL,2025-12-19,8,4385.18,11,4,2,3,9,High Priority
PHY00097,Oncology,IL,2025-10-26,10,6682.9,65,2,3,4,9,High Priority
PHY00235,Neurology,OH,2025-12-18,8,3229.93,12,4,3,2,9,High Priority
PHY00231,Rheumatology,MI,2025-12-18,10,1958.35,12,4,4,1,9,High Priority
PHY00090,Oncology,TX,2025-11-20,9,3689.58,40,3,3,3,9,High Priority
PHY00387,Endocrinology,NC,2025-07-08,10,7697.98,175,1,4,4,9,High Priority
PHY00290,Psychiatry,TX,2025-10-18,9,7728.43,73,2,3,4,9,High Priority
PHY00289,Cardiology,NC,2025-08-15,11,5813.87,137,1,4,4,9,High Priority
PHY00178,Endocrinology,GA,2025-10-16,10,6297.15,75,2,3,4,9,High Priority
PHY00176,Rheumatology,IL,2025-11-16,10,4280.7,44,3,3,3,9,High Priority
PHY00306,Pulmonology,MI,2025-12-21,6,3537.6499999999996,9,4,2,3,9,High Priority
PHY00182,General Practice,FL,2025-10-25,9,8865.05,66,2,3,4,9,High Priority
PHY00187,Oncology,OH,2025-10-23,11,3897.34,68,2,4,3,9,High Priority
PHY00188,General Practice,IL,2025-10-14,10,7609.299999999999,77,2,3,4,9,High Priority
PHY00359,Cardiology,IL,2025-12-02,11,2660.27,28,3,4,2,9,High Priority
PHY00113,Psychiatry,OH,2025-12-01,11,2871.14,29,3,4,2,9,High Priority
PHY00351,Neurology,PA,2025-12-22,7,5193.51,8,4,2,3,9,High Priority
PHY00112,General Practice,IL,2025-07-20,14,7532.58,163,1,4,4,9,High Priority
PHY00336,Psychiatry,CA,2025-10-25,10,4041.16,66,2,4,3,9,High Priority
PHY00163,Psychiatry,NC,2025-12-09,9,3086.6,21,4,3,2,9,High Priority
PHY00277,Cardiology,PA,2025-11-04,8,5246.29,56,3,3,3,9,High Priority
PHY00078,Neurology,OH,2025-12-14,9,2782.66,16,4,3,2,9,High Priority
PHY00147,Endocrinology,CA,2025-09-10,9,6483.74,111,2,3,4,9,High Priority
PHY00331,Cardiology,IL,2025-09-22,8,6282.92,99,2,3,4,9,High Priority
PHY00029,Psychiatry,NY,2025-10-10,11,4237.99,81,2,4,3,9,High Priority
PHY00014,Endocrinology,PA,2025-11-03,7,5859.33,57,3,2,4,9,High Priority
PHY00464,Cardiology,MI,2025-12-12,10,1684.17,18,4,4,1,9,High Priority
PHY00025,Neurology,OH,2025-10-04,10,10723.310000000001,87,2,3,4,9,High Priority
PHY00035,Rheumatology,NC,2025-12-27,7,4592.87,3,4,2,3,9,High Priority
PHY00148,Endocrinology,GA,2025-12-29,7,4873.0199999999995,1,4,2,3,9,High Priority
PHY00330,Psychiatry,TX,2025-11-03,11,2628.46,57,3,4,2,9,High Priority
PHY00026,Rheumatology,MI,2025-10-09,10,7220.14,82,2,3,4,9,High Priority
PHY00481,Neurology,NY,2025-12-11,7,4162.52,19,4,2,3,9,High Priority
PHY00062,General Practice,IL,2025-12-09,7,3985.3900000000003,21,4,2,3,9,High Priority
PHY00432,Rheumatology,FL,2025-11-22,8,4288.3,38,3,3,3,9,High Priority
PHY00478,Psychiatry,GA,2025-11-13,9,3881.0099999999998,47,3,3,3,9,High Priority
PHY00435,Neurology,GA,2025-10-02,9,6731.05,89,2,3,4,9,High Priority
PHY00434,Psychiatry,FL,2025-10-07,12,4312.76,84,2,4,3,9,High Priority
PHY00438,Psychiatry,NY,2025-09-28,9,5276.860000000001,93,2,3,4,9,High Priority
PHY00447,Endocrinology,PA,2025-12-15,9,2911.72,15,4,3,2,9,High Priority
PHY00009,General Practice,MI,2025-09-21,9,8341.34,100,2,3,4,9,High Priority
PHY00443,Cardiology,IL,2025-12-26,8,3438.46,4,4,3,2,9,High Priority
PHY00494,Rheumatology,CA,2025-10-19,6,11196.619999999999,72,2,2,4,8,Medium Priority
PHY00008,Pulmonology,PA,2025-12-19,8,3440.02,11,4,2,2,8,Medium Priority
PHY00457,Rheumatology,NC,2025-08-23,10,4060.16,129,1,4,3,8,Medium Priority
PHY00450,Rheumatology,CA,2025-07-10,12,4131.11,173,1,4,3,8,Medium Priority
PHY00074,Oncology,CA,2025-12-04,9,2461.96,26,3,3,2,8,Medium Priority
PHY00069,Neurology,GA,2025-09-18,8,10600.72,103,2,2,4,8,Medium Priority
PHY00491,Psychiatry,MI,2025-10-26,8,4906.69,65,2,3,3,8,Medium Priority
PHY00492,Pulmonology,OH,2025-09-03,9,4441.59,118,2,3,3,8,Medium Priority
PHY00038,Cardiology,CA,2025-12-02,10,2791.5,28,3,3,2,8,Medium Priority
PHY00044,Psychiatry,OH,2025-12-22,6,5012.849999999999,8,4,1,3,8,Medium Priority
PHY00037,Neurology,FL,2025-11-19,7,3552.97,41,3,2,3,8,Medium Priority
PHY00024,Psychiatry,PA,2025-09-19,9,3659.49,102,2,3,3,8,Medium Priority
PHY00143,Neurology,NY,2025-12-09,5,4250.97,21,4,1,3,8,Medium Priority
PHY00326,Rheumatology,NC,2025-08-12,11,5112.62,140,1,4,3,8,Medium Priority
PHY00319,General Practice,IL,2025-09-19,6,7690.63,102,2,2,4,8,Medium Priority
PHY00323,Neurology,TX,2025-10-12,8,4035.77,79,2,3,3,8,Medium Priority
PHY00302,Cardiology,PA,2025-11-26,12,1876.48,34,3,4,1,8,Medium Priority
PHY00203,General Practice,NC,2025-12-08,6,4839.92,22,4,1,3,8,Medium Priority
PHY00204,Cardiology,NY,2025-07-14,9,5800.06,169,1,3,4,8,Medium Priority
PHY00190,Rheumatology,OH,2025-11-07,7,3818.91,53,3,2,3,8,Medium Priority
PHY00191,General Practice,OH,2025-11-05,6,5331.06,55,3,1,4,8,Medium Priority
PHY00194,General Practice,NC,2025-08-18,8,6406.21,134,1,3,4,8,Medium Priority
PHY00358,Psychiatry,OH,2025-12-28,6,3354.09,2,4,2,2,8,Medium Priority
PHY00356,General Practice,NY,2025-11-25,8,2819.4500000000003,35,3,3,2,8,Medium Priority
PHY00342,Neurology,PA,2025-10-01,9,4177.04,90,2,3,3,8,Medium Priority
PHY00339,Neurology,IL,2025-12-11,7,3096.4700000000003,19,4,2,2,8,Medium Priority
PHY00340,Neurology,MI,2025-12-05,6,4075.43,25,3,2,3,8,Medium Priority
PHY00168,General Practice,TX,2025-10-03,8,5383.9800000000005,88,2,2,4,8,Medium Priority
PHY00158,Oncology,MI,2025-09-13,10,4631.53,108,2,3,3,8,Medium Priority
PHY00152,Endocrinology,TX,2025-10-01,13,3022.25,90,2,4,2,8,Medium Priority
PHY00157,General Practice,GA,2025-07-12,9,7428.03,171,1,3,4,8,Medium Priority
PHY00177,Endocrinology,NC,2025-10-14,11,3407.9700000000003,77,2,4,2,8,Medium Priority
PHY00299,Pulmonology,NC,2025-12-20,8,1982.8899999999999,10,4,3,1,8,Medium Priority
PHY00286,Endocrinology,NY,2025-12-23,9,1858.31,7,4,3,1,8,Medium Priority
PHY00291,Cardiology,NC,2025-07-28,9,7591.92,155,1,3,4,8,Medium Priority
PHY00280,Oncology,MI,2025-09-28,10,3213.1,93,2,4,2,8,Medium Priority
PHY00283,Rheumatology,IL,2025-09-16,6,8200.23,105,2,2,4,8,Medium Priority
PHY00285,Oncology,FL,2025-10-24,11,3469.1,67,2,4,2,8,Medium Priority
PHY00271,Rheumatology,NY,2025-11-30,8,2449.27,30,3,3,2,8,Medium Priority
PHY00273,Psychiatry,CA,2025-07-13,10,4093.18,170,1,4,3,8,Medium Priority
PHY00230,Pulmonology,NC,2025-11-03,10,2014.66,57,3,4,1,8,Medium Priority
PHY00236,Neurology,GA,2025-10-26,9,4125.84,65,2,3,3,8,Medium Priority
PHY00079,General Practice,MI,2025-12-05,8,3757.34,25,3,2,3,8,Medium Priority
PHY00393,Psychiatry,NY,2025-12-13,8,2029.11,17,4,3,1,8,Medium Priority
PHY00396,Neurology,TX,2025-10-24,6,5709.86,67,2,2,4,8,Medium Priority
PHY00397,Psychiatry,PA,2025-12-04,6,4027.56,26,3,2,3,8,Medium Priority
PHY00382,Rheumatology,NY,2025-11-06,8,2472.11,54,3,3,2,8,Medium Priority
PHY00383,Neurology,TX,2025-12-01,8,2684.01,29,3,3,2,8,Medium Priority
PHY00374,Psychiatry,TX,2025-10-31,6,3656.4900000000002,60,3,2,3,8,Medium Priority
PHY00367,Rheumatology,NC,2025-06-11,10,4100.530000000001,202,1,4,3,8,Medium Priority
PHY00369,Endocrinology,NY,2025-08-28,13,2779.87,124,2,4,2,8,Medium Priority
PHY00138,Cardiology,GA,2025-09-05,9,3612.85,116,2,3,3,8,Medium Priority
PHY00141,Psychiatry,CA,2025-09-11,12,3023.46,110,2,4,2,8,Medium Priority
PHY00130,Neurology,GA,2025-10-26,10,4953.45,65,2,3,3,8,Medium Priority
PHY00119,Psychiatry,MI,2025-10-29,7,5028.389999999999,62,3,2,3,8,Medium Priority
PHY00424,Endocrinology,IL,2025-04-09,11,4339.54,265,1,4,3,8,Medium Priority
PHY00426,Pulmonology,NY,2025-12-04,9,2984.89,26,3,3,2,8,Medium Priority
PHY00421,Oncology,IL,2025-12-30,6,2911.58,0,4,2,2,8,Medium Priority
PHY00411,Endocrinology,CA,2025-08-07,10,4732.7699999999995,145,1,4,3,8,Medium Priority
PHY00400,Cardiology,TX,2025-09-27,7,5406.49,94,2,2,4,8,Medium Priority
PHY00402,Neurology,TX,2025-11-09,9,2293.46,51,3,3,2,8,Medium Priority
PHY00404,Cardiology,NC,2025-10-27,9,3878.3199999999997,64,2,3,3,8,Medium Priority
PHY00105,Oncology,NC,2025-11-05,10,2691.72,55,3,3,2,8,Medium Priority
PHY00107,Rheumatology,CA,2025-10-21,13,2441.06,70,2,4,2,8,Medium Priority
PHY00096,Rheumatology,OH,2025-12-13,7,3427.04,17,4,2,2,8,Medium Priority
PHY00223,Rheumatology,MI,2025-11-28,9,2661.5299999999997,32,3,3,2,8,Medium Priority
PHY00224,Neurology,OH,2025-12-26,8,1630.6699999999998,4,4,3,1,8,Medium Priority
PHY00220,General Practice,OH,2025-12-04,9,2301.87,26,3,3,2,8,Medium Priority
PHY00206,Pulmonology,OH,2025-09-15,8,4298.44,106,2,3,3,8,Medium Priority
PHY00210,Pulmonology,IL,2025-08-14,9,5378.42,138,1,3,4,8,Medium Priority
PHY00257,General Practice,PA,2025-11-27,8,3236.1800000000003,33,3,3,2,8,Medium Priority
PHY00247,Cardiology,CA,2025-10-28,7,4938.12,63,3,2,3,8,Medium Priority
PHY00251,Rheumatology,OH,2025-05-29,8,5672.14,215,1,3,4,8,Medium Priority
PHY00242,General Practice,IL,2025-07-07,9,6855.76,176,1,3,4,8,Medium Priority
PHY00245,General Practice,NY,2025-09-14,10,2466.29,107,2,4,2,8,Medium Priority
PHY00490,Pulmonology,IL,2025-09-23,8,3656.3100000000004,98,2,3,3,8,Medium Priority
PHY00021,Rheumatology,GA,2025-08-15,10,10370.83,137,1,3,4,8,Medium Priority
PHY00027,Rheumatology,OH,2025-10-19,7,4445.03,72,2,2,3,7,Medium Priority
PHY00045,Neurology,PA,2025-09-08,5,7216.6,113,2,1,4,7,Medium Priority
PHY00036,Pulmonology,FL,2025-12-16,5,2869.7400000000002,14,4,1,2,7,Medium Priority
PHY00031,Pulmonology,NC,2025-09-05,10,2890.34,116,2,3,2,7,Medium Priority
PHY00013,Endocrinology,TX,2025-11-07,7,2695.94,53,3,2,2,7,Medium Priority
PHY00475,Endocrinology,GA,2025-12-25,7,2038.37,5,4,2,1,7,Medium Priority
PHY00263,Pulmonology,NY,2025-12-01,6,4975.8099999999995,29,3,1,3,7,Medium Priority
PHY00238,Rheumatology,NC,2025-12-15,6,3163.95,15,4,1,2,7,Medium Priority
PHY00487,Endocrinology,NY,2025-09-14,8,3109.58,107,2,3,2,7,Medium Priority
PHY00483,Pulmonology,TX,2025-08-07,9,3584.34,145,1,3,3,7,Medium Priority
PHY00212,General Practice,NY,2025-11-21,6,4091.3799999999997,39,3,1,3,7,Medium Priority
PHY00211,General Practice,IL,2025-12-17,7,1636.94,13,4,2,1,7,Medium Priority
PHY00288,Pulmonology,FL,2025-12-09,7,1417.1,21,4,2,1,7,Medium Priority
PHY00297,Rheumatology,NY,2025-12-26,7,1231.1499999999999,4,4,2,1,7,Medium Priority
PHY00301,Cardiology,GA,2025-08-22,9,5165.07,130,1,3,3,7,Medium Priority
PHY00195,General Practice,CA,2025-09-21,9,3479.71,100,2,3,2,7,Medium Priority
PHY00315,Endocrinology,PA,2025-12-09,5,2891.7,21,4,1,2,7,Medium Priority
PHY00333,Neurology,GA,2025-11-17,8,1990.08,43,3,3,1,7,Medium Priority
PHY00327,Endocrinology,TX,2025-10-08,8,2822.32,83,2,3,2,7,Medium Priority
PHY00324,Oncology,NY,2025-11-28,8,2032.3400000000001,32,3,3,1,7,Medium Priority
PHY00232,Neurology,MI,2025-10-09,8,2670.63,82,2,3,2,7,Medium Priority
PHY00281,Neurology,IL,2025-11-17,6,2111.96,43,3,2,2,7,Medium Priority
PHY00444,Psychiatry,IL,2025-07-09,6,5872.66,174,1,2,4,7,Medium Priority
PHY00440,Endocrinology,MI,2025-11-21,6,2832.87,39,3,2,2,7,Medium Priority
PHY00066,Oncology,FL,2025-11-10,7,2158.85,50,3,2,2,7,Medium Priority
PHY00072,Oncology,MI,2025-10-29,9,1441.97,62,3,3,1,7,Medium Priority
PHY00065,General Practice,PA,2025-12-10,8,1785.1599999999999,20,4,2,1,7,Medium Priority
PHY00060,Pulmonology,GA,2025-10-24,6,5703.0,67,2,1,4,7,Medium Priority
PHY00431,Cardiology,GA,2025-09-15,8,3000.49,106,2,3,2,7,Medium Priority
PHY00133,Cardiology,GA,2025-10-10,8,3802.3300000000004,81,2,2,3,7,Medium Priority
PHY00136,Pulmonology,CA,2025-05-29,10,3769.8199999999997,215,1,3,3,7,Medium Priority
PHY00140,Cardiology,NY,2025-08-16,8,8479.03,136,1,2,4,7,Medium Priority
PHY00395,Endocrinology,PA,2025-12-03,8,1409.3500000000001,27,3,3,1,7,Medium Priority
PHY00080,Neurology,IL,2025-11-22,8,2613.58,38,3,2,2,7,Medium Priority
PHY00091,Psychiatry,PA,2025-12-09,7,1249.12,21,4,2,1,7,Medium Priority
PHY00390,Cardiology,IL,2025-10-12,6,4098.81,79,2,2,3,7,Medium Priority
PHY00132,Pulmonology,FL,2025-09-07,5,6714.67,114,2,1,4,7,Medium Priority
PHY00120,Pulmonology,PA,2025-12-12,7,1547.36,18,4,2,1,7,Medium Priority
PHY00123,Oncology,TX,2025-12-30,5,2785.5699999999997,0,4,1,2,7,Medium Priority
PHY00347,Endocrinology,NY,2025-06-12,8,4407.03,201,1,3,3,7,Medium Priority
PHY00341,Endocrinology,NC,2025-10-22,7,3900.42,69,2,2,3,7,Medium Priority
