physician_id,physician_specialty,physician_state,payment_date,payment_amount,payment_type,paying_company
PHY00446,Endocrinology,MI,2025-05-21,32.22,Speaker Fee,NovaHealth Inc
PHY00073,Cardiology,NY,2025-12-13,799.95,Consulting Fee,Acme Pharma
PHY00217,Neurology,IL,2024-03-01,115.31,Travel & Lodging,BioGen Solutions
PHY00498,Neurology,NC,2024-08-16,2153.69,Meal,MedCore Ltd
PHY00435,Neurology,GA,2025-04-22,798.61,Consulting Fee,Acme Pharma
PHY00017,Neurology,MI,2024-11-25,119.9,Consulting Fee,BioGen Solutions
PHY00497,Endocrinology,MI,2024-01-12,877.86,Research Payment,Acme Pharma
PHY00215,Endocrinology,IL,2025-04-29,282.46,Royalty,MedCore Ltd
PHY00198,Neurology,NC,2024-07-18,224.93,Travel & Lodging,NovaHealth Inc
PHY00489,Cardiology,OH,2025-06-21,33.34,Speaker Fee,MedCore Ltd
PHY00199,Pulmonology,PA,2025-02-04,338.96,Speaker Fee,BioGen Solutions
PHY00270,Endocrinology,CA,2024-11-30,52.87,Research Payment,BioGen Solutions
PHY00137,Cardiology,FL,2025-11-18,193.41,Research Payment,NovaHealth Inc
PHY00223,Rheumatology,MI,2025-01-06,76.97,Travel & Lodging,NovaHealth Inc
PHY00443,Cardiology,IL,2025-05-04,1233.27,Travel & Lodging,MedCore Ltd
PHY00188,General Practice,IL,2024-04-07,1160.83,Travel & Lodging,Acme Pharma
PHY00171,Psychiatry,NC,2024-07-01,1384.38,Consulting Fee,MedCore Ltd
PHY00349,Psychiatry,IL,2025-01-31,24.89,Speaker Fee,Acme Pharma
PHY00016,Pulmonology,TX,2025-05-07,48.46,Travel & Lodging,NovaHealth Inc
PHY00034,Oncology,OH,2025-02-17,494.03,Travel & Lodging,BioGen Solutions
PHY00269,General Practice,OH,2024-05-20,527.99,Travel & Lodging,BioGen Solutions
PHY00302,Cardiology,PA,2024-01-29,199.08,Royalty,Acme Pharma
PHY00477,Cardiology,MI,2024-11-13,3860.99,Meal,BioGen Solutions
PHY00377,Neurology,MI,2024-09-22,158.32,Royalty,Acme Pharma
PHY00359,Cardiology,IL,2024-12-05,85.87,Travel & Lodging,Acme Pharma
PHY00142,Cardiology,CA,2025-01-10,634.22,Royalty,NovaHealth Inc
PHY00324,Oncology,NY,2024-05-25,24.04,Meal,MedCore Ltd
PHY00187,Oncology,OH,2024-03-01,57.46,Research Payment,BioGen Solutions
PHY00380,Cardiology,PA,2025-12-10,663.71,Speaker Fee,Acme Pharma
PHY00199,Pulmonology,PA,2025-07-17,313.92,Meal,BioGen Solutions
PHY00072,Oncology,MI,2025-10-21,138.15,Travel & Lodging,Acme Pharma
PHY00366,General Practice,IL,2024-11-25,501.08,Travel & Lodging,NovaHealth Inc
PHY00313,Neurology,NC,2024-08-05,429.35,Royalty,BioGen Solutions
PHY00215,Endocrinology,IL,2025-11-19,450.26,Consulting Fee,BioGen Solutions
PHY00020,Endocrinology,CA,2025-07-26,278.77,Speaker Fee,NovaHealth Inc
PHY00145,Psychiatry,NY,2024-08-03,31.48,Travel & Lodging,MedCore Ltd
PHY00227,Pulmonology,NY,2024-04-29,16.53,Travel & Lodging,MedCore Ltd
PHY00029,Psychiatry,NY,2025-10-10,85.28,Travel & Lodging,Acme Pharma
PHY00226,Oncology,IL,2024-11-27,225.24,Consulting Fee,Acme Pharma
PHY00395,Endocrinology,PA,2024-08-13,195.37,Meal,BioGen Solutions
PHY00038,Cardiology,CA,2024-11-23,184.46,Speaker Fee,NovaHealth Inc
PHY00037,Neurology,FL,2024-11-11,276.6,Research Payment,MedCore Ltd
PHY00453,Rheumatology,MI,2025-08-15,727.05,Travel & Lodging,MedCore Ltd
PHY00040,Endocrinology,NY,2024-02-09,255.46,Travel & Lodging,Acme Pharma
PHY00237,Rheumatology,MI,2024-10-15,326.37,Meal,Acme Pharma
PHY00059,Endocrinology,CA,2025-07-24,353.07,Consulting Fee,Acme Pharma
PHY00363,Cardiology,MI,2025-07-10,880.08,Travel & Lodging,NovaHealth Inc
PHY00188,General Practice,IL,2024-01-07,995.41,Research Payment,BioGen Solutions
PHY00045,Neurology,PA,2024-01-31,200.23,Travel & Lodging,Acme Pharma
PHY00158,Oncology,MI,2025-07-04,291.8,Speaker Fee,MedCore Ltd
PHY00258,Rheumatology,OH,2025-12-18,92.49,Speaker Fee,MedCore Ltd
PHY00013,Endocrinology,TX,2024-02-15,688.64,Travel & Lodging,Acme Pharma
PHY00233,Neurology,CA,2024-01-17,174.21,Research Payment,BioGen Solutions
PHY00496,General Practice,PA,2024-11-21,84.91,Travel & Lodging,NovaHealth Inc
PHY00455,Pulmonology,CA,2025-08-08,1016.04,Meal,MedCore Ltd
PHY00335,Rheumatology,PA,2024-08-09,184.27,Research Payment,Acme Pharma
PHY00278,Rheumatology,IL,2024-07-14,455.94,Meal,BioGen Solutions
PHY00192,Endocrinology,NC,2024-01-17,115.62,Meal,NovaHealth Inc
PHY00401,Psychiatry,NY,2025-12-05,121.04,Travel & Lodging,BioGen Solutions
PHY00436,Psychiatry,NC,2025-01-15,2423.49,Meal,BioGen Solutions
PHY00029,Psychiatry,NY,2024-02-02,209.09,Travel & Lodging,BioGen Solutions
PHY00058,Cardiology,IL,2025-06-21,21.28,Speaker Fee,NovaHealth Inc
PHY00226,Oncology,IL,2024-10-11,272.26,Research Payment,Acme Pharma
PHY00075,Pulmonology,GA,2024-05-09,991.38,Royalty,MedCore Ltd
PHY00022,Pulmonology,CA,2025-04-03,187.37,Research Payment,BioGen Solutions
PHY00464,Cardiology,MI,2024-03-24,61.78,Royalty,BioGen Solutions
PHY00441,Cardiology,NY,2025-03-28,231.67,Meal,NovaHealth Inc
PHY00015,Psychiatry,OH,2024-06-10,327.67,Research Payment,BioGen Solutions
PHY00320,Rheumatology,FL,2025-06-07,60.59,Travel & Lodging,MedCore Ltd
PHY00060,Pulmonology,GA,2025-03-05,5307.46,Consulting Fee,Acme Pharma
PHY00093,Oncology,GA,2024-11-04,202.27,Speaker Fee,MedCore Ltd
PHY00199,Pulmonology,PA,2025-01-21,58.91,Research Payment,MedCore Ltd
PHY00428,Neurology,OH,2025-11-23,201.55,Royalty,NovaHealth Inc
PHY00455,Pulmonology,CA,2024-09-29,48.93,Royalty,MedCore Ltd
PHY00340,Neurology,MI,2025-06-04,233.18,Royalty,NovaHealth Inc
PHY00117,Cardiology,OH,2025-01-20,43.95,Travel & Lodging,MedCore Ltd
PHY00205,Neurology,NC,2025-12-21,142.2,Royalty,MedCore Ltd
PHY00011,Endocrinology,GA,2024-10-27,13.35,Consulting Fee,Acme Pharma
PHY00102,Oncology,NY,2025-02-28,237.69,Consulting Fee,Acme Pharma
PHY00076,Oncology,NY,2024-02-15,123.32,Royalty,NovaHealth Inc
PHY00092,Neurology,NC,2025-10-21,1012.42,Speaker Fee,MedCore Ltd
PHY00353,Cardiology,IL,2024-01-02,110.74,Consulting Fee,Acme Pharma
PHY00233,Neurology,CA,2025-08-11,197.39,Speaker Fee,NovaHealth Inc
PHY00359,Cardiology,IL,2024-03-30,101.67,Royalty,NovaHealth Inc
PHY00498,Neurology,NC,2024-05-22,135.35,Consulting Fee,MedCore Ltd
PHY00459,Endocrinology,NC,2024-11-12,143.45,Travel & Lodging,BioGen Solutions
PHY00390,Cardiology,IL,2024-01-09,2152.48,Speaker Fee,MedCore Ltd
PHY00318,Cardiology,CA,2024-03-24,375.97,Royalty,BioGen Solutions
PHY00251,Rheumatology,OH,2025-01-17,1189.01,Speaker Fee,BioGen Solutions
PHY00003,Pulmonology,CA,2024-05-06,310.17,Consulting Fee,MedCore Ltd
PHY00362,Cardiology,MI,2024-01-14,111.98,Research Payment,BioGen Solutions
PHY00122,Pulmonology,FL,2024-05-26,136.91,Royalty,MedCore Ltd
PHY00173,Endocrinology,NC,2025-09-22,124.51,Meal,NovaHealth Inc
PHY00454,Rheumatology,TX,2025-12-23,221.8,Royalty,Acme Pharma
PHY00352,Cardiology,CA,2024-11-07,256.11,Speaker Fee,BioGen Solutions
PHY00035,Rheumatology,NC,2025-03-20,282.6,Research Payment,NovaHealth Inc
PHY00447,Endocrinology,PA,2024-07-25,179.67,Royalty,Acme Pharma
PHY00159,Cardiology,MI,2024-01-24,33.04,Meal,Acme Pharma
PHY00004,General Practice,NY,2024-12-29,253.23,Speaker Fee,Acme Pharma
PHY00435,Neurology,GA,2025-08-30,1629.91,Consulting Fee,MedCore Ltd
PHY00250,Endocrinology,CA,2024-04-26,1607.52,Speaker Fee,MedCore Ltd
PHY00262,Rheumatology,OH,2024-10-21,38.39,Speaker Fee,BioGen Solutions
PHY00371,Neurology,CA,2024-07-04,1439.21,Consulting Fee,BioGen Solutions
PHY00282,Neurology,PA,2025-06-03,1281.91,Meal,MedCore Ltd
PHY00478,Psychiatry,GA,2025-08-21,46.4,Speaker Fee,BioGen Solutions
PHY00293,Cardiology,CA,2025-07-06,1384.61,Royalty,NovaHealth Inc
PHY00316,Psychiatry,CA,2025-01-15,617.72,Consulting Fee,MedCore Ltd
PHY00130,Neurology,GA,2024-05-24,8.02,Travel & Lodging,Acme Pharma
PHY00028,Oncology,MI,2024-03-06,1920.07,Meal,Acme Pharma
PHY00407,Rheumatology,GA,2024-10-29,1548.64,Travel & Lodging,NovaHealth Inc
PHY00195,General Practice,CA,2025-09-21,268.32,Speaker Fee,MedCore Ltd
PHY00350,General Practice,OH,2024-12-26,52.48,Consulting Fee,Acme Pharma
PHY00276,Neurology,CA,2025-11-13,51.63,Travel & Lodging,Acme Pharma
PHY00175,Psychiatry,MI,2024-07-22,39.84,Research Payment,Acme Pharma
PHY00497,Endocrinology,MI,2025-09-23,378.11,Royalty,MedCore Ltd
PHY00251,Rheumatology,OH,2024-11-29,1162.68,Speaker Fee,Acme Pharma
PHY00293,Cardiology,CA,2024-01-20,292.66,Travel & Lodging,NovaHealth Inc
PHY00485,Pulmonology,PA,2024-02-28,137.94,Research Payment,Acme Pharma
PHY00497,Endocrinology,MI,2025-11-21,734.8,Travel & Lodging,NovaHealth Inc
PHY00407,Rheumatology,GA,2025-03-03,370.85,Royalty,MedCore Ltd
PHY00151,Endocrinology,NY,2025-01-18,264.18,Speaker Fee,Acme Pharma
PHY00129,Neurology,CA,2025-10-30,282.79,Royalty,Acme Pharma
PHY00495,Pulmonology,OH,2024-03-26,643.06,Speaker Fee,BioGen Solutions
PHY00458,Psychiatry,MI,2025-02-17,56.67,Speaker Fee,NovaHealth Inc
PHY00145,Psychiatry,NY,2025-06-21,311.47,Meal,BioGen Solutions
PHY00328,General Practice,MI,2024-12-10,863.32,Royalty,MedCore Ltd
PHY00289,Cardiology,NC,2024-01-01,526.62,Research Payment,MedCore Ltd
PHY00069,Neurology,GA,2024-12-26,62.08,Speaker Fee,NovaHealth Inc
PHY00220,General Practice,OH,2025-12-04,817.43,Consulting Fee,Acme Pharma
PHY00077,Neurology,MI,2024-06-07,180.76,Consulting Fee,BioGen Solutions
PHY00324,Oncology,NY,2025-09-01,32.4,Royalty,BioGen Solutions
PHY00454,Rheumatology,TX,2025-04-26,79.8,Speaker Fee,Acme Pharma
PHY00489,Cardiology,OH,2024-10-05,1150.22,Royalty,NovaHealth Inc
PHY00455,Pulmonology,CA,2025-08-23,178.81,Research Payment,BioGen Solutions
PHY00065,General Practice,PA,2024-03-16,998.14,Travel & Lodging,MedCore Ltd
PHY00093,Oncology,GA,2025-04-17,2790.65,Consulting Fee,Acme Pharma
PHY00224,Neurology,OH,2025-05-11,170.1,Travel & Lodging,BioGen Solutions
PHY00456,Endocrinology,MI,2025-09-13,234.71,Royalty,NovaHealth Inc
PHY00450,Rheumatology,CA,2024-01-03,516.4,Speaker Fee,NovaHealth Inc
PHY00412,Psychiatry,IL,2025-09-20,262.46,Research Payment,NovaHealth Inc
PHY00153,Cardiology,NY,2024-01-12,272.47,Meal,MedCore Ltd
PHY00271,Rheumatology,NY,2024-02-12,59.28,Royalty,NovaHealth Inc
PHY00498,Neurology,NC,2024-12-29,608.33,Consulting Fee,MedCore Ltd
PHY00203,General Practice,NC,2024-02-20,342.9,Meal,Acme Pharma
PHY00141,Psychiatry,CA,2025-04-14,139.75,Meal,MedCore Ltd
PHY00373,Oncology,GA,2025-07-17,146.53,Royalty,BioGen Solutions
PHY00157,General Practice,GA,2024-06-04,24.67,Meal,NovaHealth Inc
PHY00146,General Practice,CA,2024-01-02,393.94,Consulting Fee,Acme Pharma
PHY00132,Pulmonology,FL,2024-03-30,208.28,Meal,NovaHealth Inc
PHY00039,Cardiology,GA,2024-06-07,202.13,Consulting Fee,NovaHealth Inc
PHY00445,Neurology,TX,2024-10-24,205.9,Royalty,BioGen Solutions
PHY00310,Rheumatology,MI,2025-01-19,636.16,Meal,MedCore Ltd
PHY00173,Endocrinology,NC,2024-12-27,329.31,Meal,Acme Pharma
PHY00026,Rheumatology,MI,2025-06-04,3642.94,Speaker Fee,MedCore Ltd
PHY00378,Cardiology,MI,2025-09-24,55.0,Research Payment,MedCore Ltd
PHY00050,Rheumatology,MI,2025-10-25,106.54,Travel & Lodging,MedCore Ltd
PHY00060,Pulmonology,GA,2024-06-15,109.05,Meal,NovaHealth Inc
PHY00481,Neurology,NY,2025-03-14,341.99,Speaker Fee,Acme Pharma
PHY00175,Psychiatry,MI,2025-07-14,523.5,Research Payment,Acme Pharma
PHY00150,Psychiatry,TX,2025-03-07,402.04,Research Payment,BioGen Solutions
PHY00419,Psychiatry,FL,2025-03-30,38.69,Royalty,Acme Pharma
PHY00441,Cardiology,NY,2024-09-10,337.41,Consulting Fee,NovaHealth Inc
PHY00320,Rheumatology,FL,2024-09-19,93.28,Royalty,Acme Pharma
PHY00167,Psychiatry,IL,2025-04-03,1749.25,Meal,NovaHealth Inc
PHY00019,Psychiatry,MI,2025-08-02,484.34,Research Payment,NovaHealth Inc
PHY00036,Pulmonology,FL,2024-12-18,1726.89,Meal,BioGen Solutions
PHY00073,Cardiology,NY,2025-10-09,43.61,Meal,Acme Pharma
PHY00049,Rheumatology,PA,2025-10-03,56.45,Meal,Acme Pharma
PHY00428,Neurology,OH,2025-06-22,48.69,Speaker Fee,BioGen Solutions
PHY00300,Psychiatry,MI,2025-01-15,657.75,Speaker Fee,BioGen Solutions
PHY00342,Neurology,PA,2024-05-09,1820.9,Royalty,MedCore Ltd
PHY00264,Cardiology,TX,2025-10-23,404.57,Meal,NovaHealth Inc
PHY00036,Pulmonology,FL,2025-03-28,467.08,Consulting Fee,BioGen Solutions
PHY00208,Neurology,NY,2025-09-09,81.06,Royalty,NovaHealth Inc
PHY00121,Psychiatry,IL,2024-02-24,101.23,Meal,MedCore Ltd
PHY00468,Cardiology,CA,2025-05-29,1078.48,Royalty,Acme Pharma
PHY00279,Cardiology,PA,2024-12-13,691.17,Consulting Fee,Acme Pharma
PHY00286,Endocrinology,NY,2024-05-28,612.11,Meal,NovaHealth Inc
PHY00406,Neurology,CA,2025-03-31,129.94,Meal,NovaHealth Inc
PHY00500,Neurology,FL,2025-05-23,377.67,Royalty,MedCore Ltd
PHY00481,Neurology,NY,2025-10-24,95.28,Research Payment,NovaHealth Inc
PHY00475,Endocrinology,GA,2025-03-24,49.53,Travel & Lodging,BioGen Solutions
PHY00180,Endocrinology,CA,2025-12-02,3251.57,Royalty,BioGen Solutions
PHY00406,Neurology,CA,2024-05-22,62.94,Royalty,MedCore Ltd
PHY00101,General Practice,MI,2024-08-31,269.94,Travel & Lodging,NovaHealth Inc
PHY00216,Pulmonology,FL,2025-10-31,217.31,Royalty,NovaHealth Inc
PHY00067,Neurology,NY,2024-01-07,133.15,Research Payment,BioGen Solutions
PHY00066,Oncology,FL,2024-05-09,184.26,Travel & Lodging,NovaHealth Inc
PHY00206,Pulmonology,OH,2024-09-22,186.76,Royalty,Acme Pharma
PHY00164,Neurology,OH,2024-04-04,310.16,Royalty,Acme Pharma
PHY00110,General Practice,MI,2024-12-01,112.11,Travel & Lodging,BioGen Solutions
PHY00425,Psychiatry,TX,2024-01-25,462.03,Research Payment,Acme Pharma
PHY00482,Rheumatology,OH,2025-01-26,765.83,Meal,Acme Pharma
PHY00444,Psychiatry,IL,2024-01-12,4.19,Meal,Acme Pharma
PHY00031,Pulmonology,NC,2025-06-15,79.27,Royalty,MedCore Ltd
PHY00349,Psychiatry,IL,2024-02-12,205.84,Royalty,NovaHealth Inc
PHY00060,Pulmonology,GA,2025-10-24,189.4,Speaker Fee,NovaHealth Inc
PHY00267,Neurology,GA,2025-11-20,1463.92,Research Payment,BioGen Solutions
PHY00056,Neurology,PA,2025-04-07,117.2,Meal,Acme Pharma
PHY00260,Endocrinology,MI,2025-09-06,170.21,Consulting Fee,Acme Pharma
PHY00359,Cardiology,IL,2025-01-14,764.69,Meal,NovaHealth Inc
PHY00231,Rheumatology,MI,2025-11-20,41.19,Research Payment,MedCore Ltd
PHY00191,General Practice,OH,2025-07-27,53.12,Travel & Lodging,MedCore Ltd
PHY00470,Neurology,FL,2025-06-09,1229.65,Research Payment,Acme Pharma
PHY00086,Endocrinology,CA,2025-10-06,236.07,Travel & Lodging,Acme Pharma
PHY00246,Rheumatology,GA,2025-08-13,198.51,Research Payment,NovaHealth Inc
PHY00471,Pulmonology,GA,2025-02-26,38.89,Speaker Fee,NovaHealth Inc
PHY00493,Cardiology,NC,2024-07-31,845.18,Research Payment,NovaHealth Inc
PHY00485,Pulmonology,PA,2024-06-21,211.28,Consulting Fee,MedCore Ltd
PHY00395,Endocrinology,PA,2025-12-03,145.16,Research Payment,MedCore Ltd
PHY00256,Endocrinology,NY,2024-07-01,153.31,Speaker Fee,MedCore Ltd
PHY00227,Pulmonology,NY,2025-03-11,475.61,Research Payment,NovaHealth Inc
PHY00042,General Practice,TX,2024-01-21,347.14,Consulting Fee,Acme Pharma
PHY00130,Neurology,GA,2025-07-25,101.82,Research Payment,Acme Pharma
PHY00010,Oncology,NY,2024-08-29,3257.68,Speaker Fee,MedCore Ltd
PHY00443,Cardiology,IL,2025-12-26,118.29,Consulting Fee,BioGen Solutions
PHY00401,Psychiatry,NY,2024-06-21,424.95,Consulting Fee,BioGen Solutions
PHY00101,General Practice,MI,2024-01-08,108.5,Research Payment,MedCore Ltd
PHY00087,Rheumatology,MI,2024-02-12,908.4,Travel & Lodging,MedCore Ltd
PHY00017,Neurology,MI,2025-10-06,488.06,Meal,Acme Pharma
PHY00232,Neurology,MI,2024-12-31,67.22,Research Payment,NovaHealth Inc
PHY00352,Cardiology,CA,2025-06-03,28.95,Speaker Fee,NovaHealth Inc
PHY00111,Psychiatry,MI,2025-01-02,507.02,Speaker Fee,BioGen Solutions
PHY00434,Psychiatry,FL,2025-07-14,1180.14,Meal,NovaHealth Inc
PHY00324,Oncology,NY,2025-08-12,776.38,Speaker Fee,Acme Pharma
PHY00164,Neurology,OH,2025-10-13,229.65,Travel & Lodging,MedCore Ltd
PHY00258,Rheumatology,OH,2025-01-08,663.78,Meal,NovaHealth Inc
PHY00011,Endocrinology,GA,2025-06-05,236.7,Consulting Fee,MedCore Ltd
PHY00402,Neurology,TX,2024-07-01,183.78,Royalty,MedCore Ltd
PHY00473,Endocrinology,MI,2025-09-17,96.08,Royalty,MedCore Ltd
PHY00414,Cardiology,MI,2025-12-25,231.58,Consulting Fee,MedCore Ltd
PHY00405,Psychiatry,PA,2024-05-01,2840.06,Royalty,BioGen Solutions
PHY00039,Cardiology,GA,2025-05-11,351.71,Research Payment,Acme Pharma
PHY00149,Cardiology,MI,2025-09-29,33.41,Royalty,MedCore Ltd
PHY00238,Rheumatology,NC,2025-10-08,943.65,Consulting Fee,NovaHealth Inc
PHY00348,Neurology,CA,2025-04-10,93.76,Speaker Fee,Acme Pharma
PHY00213,Pulmonology,NC,2025-04-07,58.25,Meal,Acme Pharma
PHY00278,Rheumatology,IL,2025-11-13,233.3,Research Payment,Acme Pharma
PHY00353,Cardiology,IL,2025-11-26,87.3,Research Payment,NovaHealth Inc
PHY00295,Oncology,PA,2024-04-17,327.92,Consulting Fee,MedCore Ltd
PHY00229,Cardiology,TX,2024-04-20,313.41,Consulting Fee,MedCore Ltd
PHY00261,Cardiology,NY,2025-05-29,57.62,Consulting Fee,MedCore Ltd
